Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,Label
2025-04-03 22:42:02.703081,-1.16,-9.87,1.79,0.00,0.05,-0.02,OverHead
2025-04-03 22:42:02.733892,-1.08,-9.78,2.04,-0.01,0.04,0.00,OverHead
2025-04-03 22:42:02.765906,-1.25,-9.70,1.99,-0.05,0.04,0.01,OverHead
2025-04-03 22:42:02.803813,-1.21,-9.68,1.92,-0.06,0.01,0.03,OverHead
2025-04-03 22:42:02.826401,-1.29,-9.79,1.88,-0.06,-0.01,-0.01,OverHead
2025-04-03 22:42:02.857612,-1.14,-9.80,1.64,-0.05,0.02,-0.02,OverHead
2025-04-03 22:42:02.889162,-1.19,-9.78,1.53,-0.03,0.02,-0.01,OverHead
2025-04-03 22:42:02.918248,-1.11,-9.88,1.70,-0.02,0.04,-0.01,OverHead
2025-04-03 22:42:02.948782,-1.20,-9.78,1.67,-0.01,0.00,0.01,OverHead
2025-04-03 22:42:02.992255,-1.03,-9.84,1.76,-0.02,0.01,-0.00,OverHead
2025-04-03 22:42:03.010588,-1.20,-9.73,1.59,-0.00,0.04,-0.00,OverHead
2025-04-03 22:42:03.041405,-1.21,-9.71,1.82,-0.01,-0.00,0.01,OverHead
2025-04-03 22:42:03.073180,-1.02,-9.83,1.78,0.01,0.00,-0.03,OverHead
2025-04-03 22:42:03.104003,-1.15,-9.67,1.67,0.01,-0.00,-0.01,OverHead
2025-04-03 22:42:03.133142,-0.98,-9.82,1.79,0.02,0.03,-0.00,OverHead
2025-04-03 22:42:03.163997,-1.09,-9.87,1.86,0.00,0.00,-0.03,OverHead
2025-04-03 22:42:03.205092,-1.09,-9.72,1.83,-0.01,-0.00,-0.01,OverHead
2025-04-03 22:42:03.226660,-1.07,-9.86,1.86,-0.03,0.01,-0.00,OverHead
2025-04-03 22:42:03.256135,-0.97,-9.96,1.87,-0.05,-0.00,0.00,OverHead
2025-04-03 22:42:03.291382,-1.24,-10.18,1.82,-0.07,-0.01,0.04,OverHead
2025-04-03 22:42:03.318831,-1.60,-10.96,1.76,-0.15,-0.02,0.09,OverHead
2025-04-03 22:42:03.348544,-1.59,-11.29,1.89,-0.20,0.02,0.18,OverHead
2025-04-03 22:42:03.382567,-1.39,-11.66,1.68,-0.24,0.16,0.31,OverHead
2025-04-03 22:42:03.414742,-1.89,-11.77,1.69,-0.31,0.21,0.42,OverHead
2025-04-03 22:42:03.441381,-2.60,-11.77,1.80,-0.42,0.14,0.52,OverHead
2025-04-03 22:42:03.479046,-2.83,-11.83,1.57,-0.51,0.15,0.57,OverHead
2025-04-03 22:42:03.511241,-2.21,-11.78,0.92,-0.47,0.27,0.54,OverHead
2025-04-03 22:42:03.534401,-2.68,-11.34,1.30,-0.43,0.26,0.51,OverHead
2025-04-03 22:42:03.567921,-3.28,-11.37,1.16,-0.41,-0.08,0.48,OverHead
2025-04-03 22:42:03.597185,-2.38,-11.55,0.52,-0.33,0.07,0.45,OverHead
2025-04-03 22:42:03.626559,-2.84,-11.31,0.68,-0.17,0.26,0.44,OverHead
2025-04-03 22:42:03.657161,-3.01,-11.25,0.86,-0.11,0.15,0.32,OverHead
2025-04-03 22:42:03.688393,-2.43,-10.89,0.19,-0.03,0.21,0.24,OverHead
2025-04-03 22:42:03.723592,-2.85,-10.76,0.75,0.10,0.22,0.21,OverHead
2025-04-03 22:42:03.752010,-2.50,-10.16,0.84,0.23,-0.23,0.16,OverHead
2025-04-03 22:42:03.780559,-2.58,-10.13,0.74,0.37,-0.54,-0.01,OverHead
2025-04-03 22:42:03.815989,-1.83,-9.83,-0.54,0.49,-0.51,-0.09,OverHead
2025-04-03 22:42:03.844224,-2.17,-9.69,-0.03,0.59,-0.16,-0.32,OverHead
2025-04-03 22:42:03.873092,-2.21,-9.85,0.26,0.72,0.15,-0.51,OverHead
