Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,Label
2025-04-03 22:36:30.068679,6.80,5.74,3.39,-3.52,-2.89,-0.24,Plank
2025-04-03 22:36:30.099746,8.24,4.94,0.35,-3.23,-2.41,0.52,Plank
2025-04-03 22:36:30.131943,8.26,4.57,0.65,-2.91,-0.78,0.47,Plank
2025-04-03 22:36:30.162274,7.74,4.66,1.23,-2.69,-0.11,0.56,Plank
2025-04-03 22:36:30.194590,7.38,3.91,-0.22,-2.40,0.00,0.34,Plank
2025-04-03 22:36:30.224944,7.64,3.91,-0.52,-2.21,-0.15,0.12,Plank
2025-04-03 22:36:30.252079,8.60,3.94,-1.90,-1.94,0.25,-0.28,Plank
2025-04-03 22:36:30.283528,9.87,4.02,-1.23,-1.55,0.30,-0.59,Plank
2025-04-03 22:36:30.315239,12.52,6.49,-1.14,-1.30,-0.44,-1.21,Plank
2025-04-03 22:36:30.346335,14.34,6.76,-0.49,-1.06,-1.03,-0.51,Plank
2025-04-03 22:36:30.391182,16.97,4.78,-1.02,-0.94,0.07,-0.37,Plank
2025-04-03 22:36:30.407939,11.42,2.91,0.45,-0.58,1.09,-0.27,Plank
2025-04-03 22:36:30.437486,10.01,3.05,0.83,-0.51,0.04,-0.29,Plank
2025-04-03 22:36:30.474349,8.42,2.33,1.33,-0.52,-0.66,0.27,Plank
2025-04-03 22:36:30.502962,9.49,2.75,1.70,-0.53,-0.26,-0.22,Plank
2025-04-03 22:36:30.533122,10.01,3.75,1.54,-0.38,-0.31,-0.13,Plank
2025-04-03 22:36:30.560382,19.48,4.16,-0.19,-0.06,0.60,0.38,Plank
2025-04-03 22:36:30.655090,8.38,1.51,1.57,-0.60,0.89,-0.01,Plank
2025-04-03 22:36:30.683354,9.34,2.72,2.92,-0.54,1.33,0.19,Plank
2025-04-03 22:36:30.725888,8.90,2.46,4.33,-0.55,1.43,0.42,Plank
2025-04-03 22:36:30.744961,9.54,1.77,4.73,-0.69,1.25,0.60,Plank
2025-04-03 22:36:30.783823,8.29,0.79,5.25,-0.79,1.05,0.54,Plank
2025-04-03 22:36:30.831643,8.07,0.18,5.13,-0.94,0.77,0.45,Plank
2025-04-03 22:36:30.837563,8.20,0.06,5.72,-0.90,0.47,0.26,Plank
2025-04-03 22:36:30.867660,8.86,1.26,4.33,-0.70,0.67,0.27,Plank
2025-04-03 22:36:30.913053,8.37,1.03,5.75,-0.51,0.80,0.56,Plank
2025-04-03 22:36:30.930917,7.66,0.22,5.55,-0.29,0.73,0.73,Plank
2025-04-03 22:36:30.959744,7.59,-2.40,6.37,-0.01,0.67,0.12,Plank
2025-04-03 22:36:30.990456,7.77,-0.29,7.39,0.03,0.37,-0.29,Plank
2025-04-03 22:36:31.023859,7.18,0.29,7.10,-0.05,-0.04,-0.30,Plank
