Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,Label
2025-04-03 22:34:33.760089,8.60,1.83,3.14,-0.07,-0.41,0.20,Pull
2025-04-03 22:34:33.791835,8.79,1.58,2.88,-0.00,-0.18,0.22,Pull
2025-04-03 22:34:33.827261,8.88,1.05,3.15,0.04,-0.01,0.11,Pull
2025-04-03 22:34:33.852181,8.81,1.87,3.22,0.01,0.06,0.07,Pull
2025-04-03 22:34:33.888128,8.94,1.81,3.59,-0.09,-0.29,0.11,Pull
2025-04-03 22:34:33.913706,9.43,1.99,3.24,-0.07,-0.25,0.19,Pull
2025-04-03 22:34:33.944529,9.42,1.98,2.72,-0.06,-0.20,0.29,Pull
2025-04-03 22:34:33.979978,9.19,2.14,2.62,-0.03,-0.12,0.34,Pull
2025-04-03 22:34:34.007214,8.55,2.44,2.69,-0.03,-0.22,0.46,Pull
2025-04-03 22:34:34.039016,9.10,1.90,2.53,-0.00,-0.57,0.55,Pull
2025-04-03 22:34:34.072268,10.27,2.74,2.04,0.05,-0.20,0.81,Pull
2025-04-03 22:34:34.098815,9.16,1.39,2.42,0.05,-0.13,0.97,Pull
2025-04-03 22:34:34.129807,9.69,1.62,2.58,0.06,-0.18,1.07,Pull
2025-04-03 22:34:34.163321,9.53,1.87,2.14,0.04,-0.19,1.16,Pull
2025-04-03 22:34:34.191240,9.72,1.21,2.07,0.06,-0.26,1.19,Pull
2025-04-03 22:34:34.222012,8.77,1.32,1.76,-0.01,-0.13,1.23,Pull
2025-04-03 22:34:34.252951,7.94,-0.50,2.35,0.01,-0.89,1.00,Pull
2025-04-03 22:34:34.285834,9.82,0.23,0.94,0.07,-0.53,0.83,Pull
2025-04-03 22:34:34.314654,8.52,0.65,1.31,0.04,-0.34,0.79,Pull
2025-04-03 22:34:34.346330,8.36,-2.25,1.38,0.15,-1.00,0.34,Pull
2025-04-03 22:34:34.380830,10.70,-1.26,0.92,0.30,-0.35,0.30,Pull
2025-04-03 22:34:34.408207,10.01,-1.72,2.28,0.26,0.08,0.34,Pull
2025-04-03 22:34:34.437953,8.57,-2.83,3.84,-0.08,-0.06,0.13,Pull
2025-04-03 22:34:34.474841,9.72,-2.40,2.31,-0.39,-0.34,0.07,Pull
2025-04-03 22:34:34.499793,10.55,-2.99,1.88,-0.32,-0.04,-0.11,Pull
2025-04-03 22:34:34.530537,9.76,-2.87,1.22,-0.15,0.15,-0.17,Pull
2025-04-03 22:34:34.561288,10.25,-2.28,1.34,-0.12,-0.01,-0.18,Pull
2025-04-03 22:34:34.592301,9.39,-3.38,0.97,-0.16,-0.08,-0.29,Pull
2025-04-03 22:34:34.623166,9.60,-3.12,0.48,-0.14,-0.18,-0.43,Pull
2025-04-03 22:34:34.656193,9.48,-2.99,0.23,-0.07,0.06,-0.50,Pull
2025-04-03 22:34:34.689720,9.14,-3.31,0.55,-0.07,-0.17,-0.52,Pull
2025-04-03 22:34:34.716853,9.39,-2.96,0.54,-0.11,-0.38,-0.54,Pull
2025-04-03 22:34:34.749739,9.90,-2.59,0.37,-0.22,-0.05,-0.41,Pull
2025-04-03 22:34:34.777942,9.30,-2.86,1.54,-0.30,-0.05,-0.22,Pull
2025-04-03 22:34:34.806500,9.15,-2.97,1.46,-0.36,-0.28,-0.27,Pull
2025-04-03 22:34:34.838981,9.19,-3.59,1.18,-0.32,-0.05,-0.16,Pull
2025-04-03 22:34:34.877113,9.25,-3.06,2.02,-0.27,-0.00,-0.15,Pull
2025-04-03 22:34:34.900547,9.87,-2.86,1.66,-0.21,-0.24,0.02,Pull
2025-04-03 22:34:34.931328,11.21,-1.92,0.42,-0.10,0.11,0.31,Pull
2025-04-03 22:34:34.963301,9.13,-1.93,1.63,-0.03,0.22,0.13,Pull
2025-04-03 22:34:34.992812,9.81,-1.45,1.15,-0.01,-0.06,0.26,Pull
2025-04-03 22:34:35.023358,9.58,-1.43,0.69,0.02,0.18,0.07,Pull
2025-04-03 22:34:35.053992,9.73,-0.91,0.76,0.03,0.01,0.13,Pull
2025-04-03 22:34:35.085231,9.83,-0.91,0.46,0.00,0.09,0.13,Pull
2025-04-03 22:34:35.115899,9.47,-1.26,1.11,-0.02,0.03,0.07,Pull
2025-04-03 22:34:35.146478,9.18,-1.22,0.57,0.00,-0.06,0.04,Pull
2025-04-03 22:34:35.179952,9.69,-1.34,0.45,0.03,0.03,-0.01,Pull
2025-04-03 22:34:35.208284,9.53,-1.10,1.06,0.05,-0.01,0.04,Pull
2025-04-03 22:34:35.238793,9.67,-1.13,0.72,0.03,-0.18,-0.08,Pull
2025-04-03 22:34:35.271980,9.42,-1.61,1.06,0.03,0.10,0.02,Pull
2025-04-03 22:34:35.300499,9.24,-1.40,1.13,0.01,0.00,-0.04,Pull
2025-04-03 22:34:35.331222,9.60,-1.53,0.93,-0.04,-0.16,-0.04,Pull
2025-04-03 22:34:35.362270,9.84,-1.90,1.02,-0.04,0.21,-0.05,Pull
2025-04-03 22:34:35.397218,9.31,-2.43,1.48,0.01,0.37,-0.09,Pull
2025-04-03 22:34:35.423538,8.86,-3.42,1.95,0.08,0.07,-0.06,Pull
2025-04-03 22:34:35.454483,10.18,-3.34,1.55,0.12,0.16,0.04,Pull
