Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,handGrip,Label
2025-04-03 22:43:59.377915,1.42,9.46,1.92,-0.0,0.19,-0.12,PalmDown,PushUp
2025-04-03 22:43:59.419121,1.19,9.62,1.39,-0.02,-0.04,-0.02,PalmDown,PushUp
2025-04-03 22:43:59.439513,1.26,9.56,1.43,-0.01,0.08,-0.05,PalmDown,PushUp
2025-04-03 22:43:59.470002,1.34,9.58,1.92,-0.04,-0.19,0.05,PalmDown,PushUp
2025-04-03 22:43:59.506897,0.87,9.59,1.7,-0.07,-0.41,-0.0,PalmDown,PushUp
2025-04-03 22:43:59.531979,1.5,9.73,1.57,-0.07,-0.36,0.02,PalmDown,PushUp
2025-04-03 22:43:59.563403,1.06,9.4,0.93,0.0,-0.12,0.06,PalmDown,PushUp
2025-04-03 22:43:59.596814,1.11,9.62,1.44,0.04,0.3,-0.09,PalmDown,PushUp
2025-04-03 22:43:59.624175,0.97,9.64,2.11,0.01,0.06,-0.04,PalmDown,PushUp
2025-04-03 22:43:59.655022,1.67,9.62,1.44,-0.0,-0.07,0.04,PalmDown,PushUp
2025-04-03 22:43:59.685610,1.18,9.58,1.9,-0.04,-0.14,0.02,PalmDown,PushUp
2025-04-03 22:43:59.719187,1.57,9.53,1.01,-0.02,-0.11,0.01,PalmDown,PushUp
2025-04-03 22:43:59.747785,1.28,9.42,1.4,-0.08,-0.13,-0.01,PalmDown,PushUp
2025-04-03 22:43:59.778059,1.13,9.68,1.61,-0.09,-0.24,0.02,PalmDown,PushUp
2025-04-03 22:43:59.811873,1.67,9.23,1.41,-0.13,-0.35,0.08,PalmDown,PushUp
2025-04-03 22:43:59.839248,2.0,9.16,0.77,-0.02,0.08,-0.16,PalmDown,PushUp
2025-04-03 22:43:59.869965,1.9,9.51,1.15,0.03,0.0,-0.11,PalmDown,PushUp
2025-04-03 22:43:59.909391,0.98,8.32,1.43,-0.01,-0.44,0.12,PalmDown,PushUp
2025-04-03 22:43:59.931541,1.42,9.33,1.46,-0.03,-0.13,0.11,PalmDown,PushUp
2025-04-03 22:43:59.962577,1.73,9.6,0.96,-0.11,-0.41,0.05,PalmDown,PushUp
2025-04-03 22:43:59.993487,1.39,9.37,1.39,-0.15,-0.48,0.09,PalmDown,PushUp
2025-04-03 22:44:00.026023,1.49,9.39,1.41,-0.01,-0.01,-0.08,PalmDown,PushUp
2025-04-03 22:44:00.055126,1.31,9.61,1.37,0.02,0.16,-0.11,PalmDown,PushUp
2025-04-03 22:44:00.087348,1.93,9.18,0.8,0.04,0.16,-0.09,PalmDown,PushUp
