Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,handGrip,Label
2025-04-03 22:45:59.251719,4.8,3.17,6.57,0.05,-0.03,1.15,ClosedGrip,TricepExtension
2025-04-03 22:45:59.282542,4.28,2.1,6.5,-0.04,-0.37,1.37,ClosedGrip,TricepExtension
2025-04-03 22:45:59.313356,4.37,1.54,6.01,0.14,-0.37,1.3,ClosedGrip,TricepExtension
2025-04-03 22:45:59.346599,4.68,1.23,6.03,0.3,-0.44,1.33,ClosedGrip,TricepExtension
2025-04-03 22:45:59.379371,5.14,1.12,6.65,0.43,-0.59,1.35,ClosedGrip,TricepExtension
2025-04-03 22:45:59.405769,5.48,1.11,6.99,0.53,-0.36,1.2,ClosedGrip,TricepExtension
2025-04-03 22:45:59.437646,4.65,0.77,7.72,0.55,-0.44,1.2,ClosedGrip,TricepExtension
2025-04-03 22:45:59.467457,5.61,0.66,6.49,0.54,-0.85,1.23,ClosedGrip,TricepExtension
2025-04-03 22:45:59.498011,6.79,0.82,6.23,0.72,-0.47,1.3,ClosedGrip,TricepExtension
2025-04-03 22:45:59.532191,7.31,0.97,6.59,0.91,-0.14,1.12,ClosedGrip,TricepExtension
2025-04-03 22:45:59.560638,7.45,1.48,6.5,1.04,-0.34,1.01,ClosedGrip,TricepExtension
2025-04-03 22:45:59.590622,8.45,1.58,6.55,1.13,-0.73,0.83,ClosedGrip,TricepExtension
2025-04-03 22:45:59.621293,8.95,1.61,6.34,1.23,-0.67,0.77,ClosedGrip,TricepExtension
2025-04-03 22:45:59.662912,8.41,1.25,5.07,1.37,-0.32,0.86,ClosedGrip,TricepExtension
2025-04-03 22:45:59.687873,8.02,1.39,4.75,1.47,-0.13,0.8,ClosedGrip,TricepExtension
2025-04-03 22:45:59.713576,7.92,1.55,5.24,1.48,-0.12,0.61,ClosedGrip,TricepExtension
2025-04-03 22:45:59.748583,7.67,1.37,5.0,1.52,-0.13,0.41,ClosedGrip,TricepExtension
2025-04-03 22:45:59.773960,7.46,1.54,4.72,1.58,-0.47,0.32,ClosedGrip,TricepExtension
2025-04-03 22:45:59.807570,7.47,1.58,4.76,1.57,-0.75,0.19,ClosedGrip,TricepExtension
2025-04-03 22:45:59.836615,8.04,1.62,4.76,1.61,-0.59,0.02,ClosedGrip,TricepExtension
2025-04-03 22:45:59.868134,8.13,1.85,4.66,1.6,-0.3,-0.03,ClosedGrip,TricepExtension
2025-04-03 22:45:59.898180,7.95,1.88,4.5,1.55,-0.14,0.05,ClosedGrip,TricepExtension
2025-04-03 22:45:59.929571,7.35,1.57,4.85,1.5,-0.26,-0.0,ClosedGrip,TricepExtension
2025-04-03 22:45:59.966238,8.15,2.17,4.85,1.42,-0.49,0.02,ClosedGrip,TricepExtension
2025-04-03 22:45:59.994596,8.89,2.58,4.16,1.34,-0.46,0.07,ClosedGrip,TricepExtension
2025-04-03 22:46:00.021283,9.79,3.2,4.05,1.17,-0.22,0.13,ClosedGrip,TricepExtension
2025-04-03 22:46:00.057529,9.61,4.07,4.9,0.79,0.12,0.08,ClosedGrip,TricepExtension
2025-04-03 22:46:00.083305,9.25,4.31,4.87,0.43,-0.13,0.05,ClosedGrip,TricepExtension
2025-04-03 22:46:00.113974,8.63,4.06,5.43,0.16,-0.83,0.2,ClosedGrip,TricepExtension
2025-04-03 22:46:00.144901,10.61,3.49,4.9,0.01,-1.49,0.58,ClosedGrip,TricepExtension
2025-04-03 22:46:00.178112,11.76,2.14,4.38,0.09,-0.87,0.82,ClosedGrip,TricepExtension
2025-04-03 22:46:00.206584,12.08,1.66,5.47,0.25,-0.17,1.43,ClosedGrip,TricepExtension
2025-04-03 22:46:00.237993,12.45,1.37,5.13,0.21,-0.46,1.7,ClosedGrip,TricepExtension
2025-04-03 22:46:00.272254,13.62,2.01,4.44,0.17,-0.22,1.77,ClosedGrip,TricepExtension
2025-04-03 22:46:00.299116,13.67,3.36,3.67,0.25,0.2,2.02,ClosedGrip,TricepExtension
2025-04-03 22:46:00.329924,11.5,2.4,3.91,0.11,-0.21,2.38,ClosedGrip,TricepExtension
2025-04-03 22:46:00.364451,9.91,1.36,3.24,0.1,-0.2,2.35,ClosedGrip,TricepExtension
2025-04-03 22:46:00.392066,9.67,0.17,2.7,0.13,-0.11,2.35,ClosedGrip,TricepExtension
2025-04-03 22:46:00.422311,8.98,-0.93,2.63,0.08,-0.07,2.08,ClosedGrip,TricepExtension
2025-04-03 22:46:00.453110,11.09,-0.27,1.35,0.06,-0.15,1.79,ClosedGrip,TricepExtension
2025-04-03 22:46:00.484335,11.86,-0.09,0.92,0.11,0.03,1.95,ClosedGrip,TricepExtension
2025-04-03 22:46:00.518774,10.11,-0.61,1.15,0.1,-0.04,1.72,ClosedGrip,TricepExtension
2025-04-03 22:46:00.545986,10.96,-1.47,0.79,0.22,-0.54,1.75,ClosedGrip,TricepExtension
2025-04-03 22:46:00.576824,11.0,-2.11,0.91,0.33,-0.17,1.65,ClosedGrip,TricepExtension
2025-04-03 22:46:00.607958,7.88,-2.24,1.74,0.34,0.49,1.28,ClosedGrip,TricepExtension
2025-04-03 22:46:00.638419,9.75,-2.51,0.46,0.48,0.85,1.23,ClosedGrip,TricepExtension
2025-04-03 22:46:00.671474,7.64,-2.09,1.65,0.38,1.29,0.97,ClosedGrip,TricepExtension
2025-04-03 22:46:00.699721,4.53,-1.87,2.66,0.27,0.5,0.79,ClosedGrip,TricepExtension
2025-04-03 22:46:00.730711,5.97,-0.79,1.17,0.12,0.23,0.84,ClosedGrip,TricepExtension
2025-04-03 22:46:00.761487,5.43,-0.22,1.17,-0.06,0.51,0.67,ClosedGrip,TricepExtension
2025-04-03 22:46:00.796831,5.6,-1.21,1.51,-0.13,0.82,0.63,ClosedGrip,TricepExtension
2025-04-03 22:46:00.823155,4.72,-2.49,2.33,-0.09,0.96,0.44,ClosedGrip,TricepExtension
2025-04-03 22:46:00.854418,4.11,-3.27,3.45,-0.06,0.4,0.17,ClosedGrip,TricepExtension
2025-04-03 22:46:00.884680,4.21,-3.19,2.42,-0.08,0.11,0.05,ClosedGrip,TricepExtension
2025-04-03 22:46:00.915600,4.5,-3.57,2.74,-0.2,0.1,-0.29,ClosedGrip,TricepExtension
2025-04-03 22:46:00.948015,4.37,-3.32,2.63,-0.3,-0.17,-0.38,ClosedGrip,TricepExtension
2025-04-03 22:46:00.977484,3.71,-2.93,1.65,-0.34,-0.45,-0.6,ClosedGrip,TricepExtension
2025-04-03 22:46:01.008079,4.96,-2.22,0.75,-0.35,-0.76,-0.81,ClosedGrip,TricepExtension
2025-04-03 22:46:01.038646,4.71,-1.92,0.92,-0.32,-0.51,-1.03,ClosedGrip,TricepExtension
