Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,handGrip,Label
2025-04-03 22:47:50.266363,4.44,1.81,-8.36,0.06,-0.01,-0.12,ClosedGrip,WristCurl
2025-04-03 22:47:50.297024,3.59,1.8,-8.03,0.04,0.12,-0.18,ClosedGrip,WristCurl
2025-04-03 22:47:50.330214,4.48,1.73,-8.48,0.08,0.07,-0.24,ClosedGrip,WristCurl
2025-04-03 22:47:50.358708,4.47,1.89,-8.69,0.2,-0.08,-0.15,ClosedGrip,WristCurl
2025-04-03 22:47:50.389353,4.25,1.73,-8.29,0.24,0.02,-0.14,ClosedGrip,WristCurl
2025-04-03 22:47:50.423241,4.16,1.95,-8.29,0.27,0.04,-0.13,ClosedGrip,WristCurl
2025-04-03 22:47:50.451264,4.11,1.82,-8.83,0.4,-0.14,-0.11,ClosedGrip,WristCurl
2025-04-03 22:47:50.484399,4.02,1.51,-8.53,0.4,0.01,-0.11,ClosedGrip,WristCurl
2025-04-03 22:47:50.513354,3.98,1.36,-8.23,0.36,0.2,-0.14,ClosedGrip,WristCurl
2025-04-03 22:47:50.546068,3.99,1.32,-8.4,0.35,0.21,-0.14,ClosedGrip,WristCurl
2025-04-03 22:47:50.574018,3.92,1.32,-8.36,0.36,0.06,-0.11,ClosedGrip,WristCurl
2025-04-03 22:47:50.604731,4.38,1.29,-8.13,0.32,0.14,-0.09,ClosedGrip,WristCurl
2025-04-03 22:47:50.638416,4.5,1.38,-8.24,0.32,0.01,-0.06,ClosedGrip,WristCurl
2025-04-03 22:47:50.666852,4.56,1.05,-7.62,0.25,0.07,-0.03,ClosedGrip,WristCurl
2025-04-03 22:47:50.698367,4.71,1.64,-8.54,0.18,0.19,0.03,ClosedGrip,WristCurl
2025-04-03 22:47:50.728616,4.28,1.2,-8.65,0.26,0.04,0.08,ClosedGrip,WristCurl
2025-04-03 22:47:50.759006,3.96,2.43,-7.43,0.13,-0.02,0.2,ClosedGrip,WristCurl
2025-04-03 22:47:50.791863,4.47,0.39,-7.91,0.24,-0.09,0.08,ClosedGrip,WristCurl
2025-04-03 22:47:50.822801,4.06,0.84,-8.72,0.3,-0.23,0.03,ClosedGrip,WristCurl
2025-04-03 22:47:50.854178,4.35,0.72,-8.83,0.26,-0.09,0.07,ClosedGrip,WristCurl
2025-04-03 22:47:50.882246,3.48,0.47,-7.87,0.28,-0.11,-0.01,ClosedGrip,WristCurl
2025-04-03 22:47:50.913089,3.84,0.53,-8.19,0.16,-0.06,0.01,ClosedGrip,WristCurl
2025-04-03 22:47:50.943771,4.07,0.18,-8.69,0.13,0.09,-0.06,ClosedGrip,WristCurl
2025-04-03 22:47:50.975308,3.87,0.17,-8.26,0.15,-0.12,-0.04,ClosedGrip,WristCurl
2025-04-03 22:47:51.005513,4.28,0.13,-8.13,0.23,-0.14,-0.14,ClosedGrip,WristCurl
2025-04-03 22:47:51.037074,4.72,0.73,-8.97,0.19,-0.08,0.03,ClosedGrip,WristCurl
2025-04-03 22:47:51.071819,4.38,0.02,-8.32,0.11,0.32,0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.101329,3.75,0.23,-7.45,0.13,0.07,-0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.128505,3.93,0.22,-8.3,0.06,-0.09,0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.160967,4.1,0.53,-8.75,-0.11,0.03,0.08,ClosedGrip,WristCurl
2025-04-03 22:47:51.190121,3.97,0.07,-8.28,-0.19,0.09,0.04,ClosedGrip,WristCurl
2025-04-03 22:47:51.220746,3.8,0.16,-7.49,-0.13,-0.12,-0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.251925,4.64,0.21,-9.42,-0.11,-0.04,0.05,ClosedGrip,WristCurl
2025-04-03 22:47:51.282724,4.14,0.09,-8.63,-0.09,0.16,0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.314760,3.85,0.04,-8.24,-0.01,0.07,-0.02,ClosedGrip,WristCurl
2025-04-03 22:47:51.344754,4.16,0.08,-8.58,-0.02,-0.04,0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.375106,4.32,0.13,-8.44,-0.03,-0.08,0.05,ClosedGrip,WristCurl
2025-04-03 22:47:51.405930,4.34,0.19,-8.44,-0.04,-0.05,0.05,ClosedGrip,WristCurl
2025-04-03 22:47:51.438387,3.85,0.25,-8.5,-0.03,-0.01,0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.469881,4.2,0.14,-7.97,-0.02,-0.03,0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.498750,4.05,0.46,-8.36,0.0,-0.11,-0.08,ClosedGrip,WristCurl
2025-04-03 22:47:51.528698,4.43,0.63,-8.78,-0.03,-0.04,-0.03,ClosedGrip,WristCurl
2025-04-03 22:47:51.559375,4.0,0.35,-8.26,-0.07,0.07,-0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.591035,3.88,0.26,-8.32,-0.05,-0.08,0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.620970,4.18,0.15,-8.61,-0.05,-0.05,0.02,ClosedGrip,WristCurl
2025-04-03 22:47:51.651538,4.0,0.26,-9.09,-0.01,0.07,0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.682589,3.94,0.33,-9.19,0.02,0.09,0.06,ClosedGrip,WristCurl
2025-04-03 22:47:51.713232,3.84,0.24,-8.13,-0.02,0.16,0.05,ClosedGrip,WristCurl
2025-04-03 22:47:51.745880,3.99,0.14,-8.55,-0.04,0.07,-0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.775750,4.37,0.27,-8.84,-0.06,0.14,0.01,ClosedGrip,WristCurl
2025-04-03 22:47:51.805425,4.43,0.23,-7.97,-0.1,0.22,0.04,ClosedGrip,WristCurl
2025-04-03 22:47:51.836369,3.8,0.28,-7.89,-0.11,-0.01,-0.03,ClosedGrip,WristCurl
2025-04-03 22:47:51.867150,4.33,0.62,-7.55,-0.14,-0.06,-0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.898013,4.47,0.56,-8.72,-0.15,0.03,-0.0,ClosedGrip,WristCurl
2025-04-03 22:47:51.928621,5.04,0.14,-8.55,-0.1,-0.06,-0.02,ClosedGrip,WristCurl
