Timestamp,Acce_x,Acce_y,Acce_z,Gyro_x,Gyro_y,Gyro_z,Label
2025-03-15 11:15:38.675707,-3.82,-8.31,4.30,-0.01,0.07,0.06,OverHead
2025-03-15 11:15:38.810736,-4.36,-8.42,3.89,0.15,0.17,-0.02,OverHead
2025-03-15 11:15:38.825687,-4.16,-8.69,3.13,0.24,0.26,-0.06,OverHead
2025-03-15 11:15:38.854032,-3.84,-8.11,4.03,0.18,0.12,0.00,OverHead
2025-03-15 11:15:38.879426,-4.35,-7.90,3.63,0.09,0.04,-0.07,OverHead
2025-03-15 11:15:38.905656,-4.20,-7.72,5.23,0.01,-0.17,0.05,OverHead
2025-03-15 11:15:38.932842,-4.70,-8.02,4.26,-0.10,-0.38,-0.06,OverHead
2025-03-15 11:15:38.959006,-4.77,-8.02,5.01,-0.13,-0.50,-0.09,OverHead
2025-03-15 11:15:38.987981,-4.03,-8.46,3.55,-0.18,-0.53,-0.13,OverHead
2025-03-15 11:15:39.012440,-3.81,-8.81,5.68,-0.13,-0.27,-0.26,OverHead
2025-03-15 11:15:39.049698,-4.18,-8.69,3.85,-0.24,-0.26,-0.21,OverHead
2025-03-15 11:15:39.065958,-3.50,-8.56,3.62,-0.06,0.07,-0.31,OverHead
2025-03-15 11:15:39.095251,-3.39,-9.24,3.33,0.01,0.35,-0.45,OverHead
2025-03-15 11:15:39.121205,-3.26,-8.83,4.64,-0.00,0.39,-0.32,OverHead
2025-03-15 11:15:39.154905,-3.06,-9.06,4.17,-0.04,0.07,-0.25,OverHead
2025-03-15 11:15:39.193148,-3.61,-8.33,6.43,-0.29,-0.40,-0.24,OverHead
2025-03-15 11:15:39.215502,-4.24,-8.29,6.22,-0.74,-1.27,-0.26,OverHead
2025-03-15 11:15:39.243749,-3.61,-8.77,4.50,-0.97,-1.76,-0.40,OverHead
2025-03-15 11:15:39.256219,-2.02,-9.36,4.56,-1.25,-2.46,-0.62,OverHead
2025-03-15 11:15:39.278658,-1.96,-8.41,3.45,-1.00,-2.66,-0.87,OverHead
2025-03-15 11:15:39.306671,-1.82,-7.21,4.68,-1.19,-2.45,-0.45,OverHead
2025-03-15 11:15:39.332640,-1.52,-8.63,3.36,-1.13,-1.92,-0.06,OverHead
2025-03-15 11:15:39.361752,-0.74,-9.28,3.21,-1.09,-1.48,-0.04,OverHead
2025-03-15 11:15:39.387082,-0.80,-9.02,2.82,-1.00,-1.31,-0.16,OverHead
2025-03-15 11:15:39.414523,-1.59,-8.35,2.97,-0.92,-1.33,-0.10,OverHead
2025-03-15 11:15:39.439825,-1.66,-8.42,2.61,-0.89,-1.37,0.20,OverHead
2025-03-15 11:15:39.466306,-2.10,-8.80,0.39,-0.79,-0.86,0.55,OverHead
2025-03-15 11:15:39.493475,-2.69,-9.70,1.12,-0.64,0.13,0.43,OverHead
2025-03-15 11:15:39.520629,-1.97,-9.42,3.20,-0.59,-0.18,-0.17,OverHead
2025-03-15 11:15:39.546539,-1.82,-8.19,2.54,-0.62,-0.37,0.06,OverHead
2025-03-15 11:15:39.573388,-1.57,-9.03,1.45,-0.51,-0.27,0.13,OverHead
2025-03-15 11:15:39.602505,-2.26,-9.81,1.13,-0.44,-0.16,-0.14,OverHead
2025-03-15 11:15:39.626571,-1.70,-9.19,-0.01,-0.21,0.18,-0.04,OverHead
2025-03-15 11:15:39.654289,-1.53,-9.95,0.17,-0.10,0.58,-0.05,OverHead
2025-03-15 11:15:39.680781,-1.65,-11.07,1.81,-0.11,0.43,-0.26,OverHead
2025-03-15 11:15:39.710107,-1.92,-10.30,2.02,-0.09,0.08,-0.34,OverHead
2025-03-15 11:15:39.735495,-1.69,-10.02,1.68,-0.09,-0.00,-0.30,OverHead
2025-03-15 11:15:39.764168,-0.32,-10.90,1.18,-0.10,0.19,-0.24,OverHead
2025-03-15 11:15:39.791324,-0.05,-10.52,1.30,-0.17,0.38,-0.18,OverHead
2025-03-15 11:15:39.816948,-1.24,-9.78,2.21,-0.22,0.47,-0.20,OverHead
2025-03-15 11:15:39.841180,-1.39,-9.86,2.11,-0.20,0.35,-0.17,OverHead
2025-03-15 11:15:39.868782,-1.05,-10.17,1.12,-0.20,0.09,-0.26,OverHead
2025-03-15 11:15:39.900320,-1.14,-9.77,1.53,-0.21,0.02,-0.22,OverHead
2025-03-15 11:15:39.921342,-1.25,-9.78,2.21,-0.18,-0.19,-0.04,OverHead
2025-03-15 11:15:39.948228,-0.96,-10.06,0.97,-0.21,-0.23,-0.17,OverHead
2025-03-15 11:15:39.975032,-0.04,-10.14,0.77,-0.20,-0.13,-0.19,OverHead
2025-03-15 11:15:40.005863,-0.39,-10.41,0.56,-0.05,0.07,-0.05,OverHead
2025-03-15 11:15:40.028865,-0.58,-10.99,1.47,0.03,0.06,-0.27,OverHead
2025-03-15 11:15:40.056085,-0.77,-11.06,1.64,0.02,-0.14,-0.40,OverHead
2025-03-15 11:15:40.082638,-0.68,-11.21,1.45,-0.06,-0.13,-0.37,OverHead
2025-03-15 11:15:40.109478,-0.25,-12.13,1.08,-0.10,-0.09,-0.46,OverHead
2025-03-15 11:15:40.136184,-0.17,-12.22,1.42,-0.12,-0.11,-0.58,OverHead
2025-03-15 11:15:40.162530,-0.14,-11.73,0.83,-0.21,-0.05,-0.53,OverHead
2025-03-15 11:15:40.189850,0.16,-12.21,0.92,-0.13,0.08,-0.48,OverHead
2025-03-15 11:15:40.217001,-0.12,-11.47,1.09,-0.11,0.03,-0.68,OverHead
2025-03-15 11:15:40.242443,-0.13,-10.68,1.25,-0.21,-0.04,-0.54,OverHead
2025-03-15 11:15:40.269462,0.46,-11.92,1.02,-0.12,-0.32,-0.63,OverHead
